section,line
dataset_manual_changes,River Plate stadium changed to Estadio Monumental.
dataset_manual_changes,"Rostovv league changed to Russian Premier League, country to Russia, city to Rostov-on-Don, stadium to Rostov Arena."
dataset_manual_changes,"Sabah league changed to Azerbaijan Premier League, country to Azerbaijan, city to Masazir, stadium to Bank Respublika Arena."
dataset_manual_changes,"San Lorenzo league changed to Primera División de Argentina, country to Argentina, city to Buenos Aires, stadium to Estadio Pedro Bidegain."
dataset_manual_changes,"Selangor city changed to Petaling Jaya, stadium to Petaling Jaya Stadium"
dataset_manual_changes,Sevilla stadium changed to Ramón Sánchez-Pizjuán Stadium.
dataset_manual_changes,"Sharjah league changed to UAE Pro League, city to Sharjah, stadium to Sharjah Stadium (football)."
dataset_manual_changes,Sheffield United country changed to England.
dataset_manual_changes,"Slovan Bratislava league changed to Slovak First Football League, city to Bratislava, stadium to Tehelné pole."
dataset_manual_changes,Spartak Moscow city changed to Moscow.
dataset_manual_changes,"St Gallen league changed to Swiss Super League, city to St. Gallen, stadium to Kybunpark."
dataset_manual_changes,"Stade Nyonnaise league changed to Swiss Challenge League, country to Switzerland, city to Nyon, stadium to Colovray Sports Centre."
dataset_manual_changes,"Stoke City country changed to England, city to Stoke-on-Trent, stadium to Bet365 Stadium."
dataset_manual_changes,"Str√∏msgodset name changed to Strømsgodset, league to Norwegian First Division, stadium to Marienlyst Stadion."
dataset_manual_changes,"Surkhon city changed to Termez, stadium to Surkhon arena."
dataset_manual_changes,Telstar city changed to Velsen-Zuid.
dataset_manual_changes,"Terengganu city changed to Kuala Nerus, stadium changed to Sultan Mizan Zainal Abidin Stadium."
dataset_manual_changes,"Tondela league changed to Liga Portugal 2, city to Tondela, stadium to Estádio João Cardoso."
dataset_manual_changes,Toulouse stadium changed to Stadium de Toulouse.
dataset_manual_changes,Valencia city changed to Valencia.
dataset_manual_changes,Vasco da Gama stadium changed to São Januário.
dataset_manual_changes,Villarreal stadium changed to Estadio de la Cerámica.
dataset_manual_changes,"Violette league changed to Ligue Haïtienne, country to Haiti, city to Port-au-Prince, stadium to Stade Sylvio Cator."
dataset_manual_changes,"Vitoria Guimaraes league changed to Primeira Liga, city to Guimarães, stadium to Estádio D. Afonso Henriques."
dataset_manual_changes,"Vizela league changed to Liga Portugal 2, city to Vizela, stadium to Estádio do Futebol Clube de Vizela."
dataset_manual_changes,"Volendam league changed to Eerste Divisie, country to Netherlands, city to Volendam, stadium to Kras Stadion."
dataset_manual_changes,Werder Bremen city changed to Bremen.
dataset_manual_changes,Zamalek city changed to Cairo.
dataset_manual_changes,"Zurich name changed to Zürich, league to Swiss Super League, city to Zurich, stadium to Letzigrund."
