player_id,wikidata_id,fifa_id,espn_id,display_name,name_ascii,date_of_birth,place_of_birth,birth_country,birth_lat,birth_lon,height_cm,primary_position,image_commons_title,image_url,image_author,image_license,image_source_url,bio_source_url,data_confidence,manual_review_flag,notes
p_alg_achraf_abada_19289ff4,,,,Achraf Abada,Achraf Abada,,,,,,,defender,,,,,,,provisional_raw_import,FALSE,
p_alg_adil_boulbina_d1bb01d8,,,,Adil Boulbina,Adil Boulbina,,,,,,,forward,,,,,,,provisional_raw_import,FALSE,
p_alg_aissa_mandi_18ff426e,,,,Aissa Mandi,Aissa Mandi,,,,,,,defender,,,,,,,provisional_raw_import,FALSE,
p_alg_amine_gouiri_e78ccbec,,,,Amine Gouiri,Amine Gouiri,,,,,,,forward,,,,,,,provisional_raw_import,FALSE,
p_alg_anis_hadj_moussa_ad8afb91,,,,Anis Hadj Moussa,Anis Hadj Moussa,,,,,,,forward,,,,,,,provisional_raw_import,FALSE,
p_alg_fares_chaibi_7363c3a0,,,,Fares Chaibi,Fares Chaibi,,,,,,,midfielder,,,,,,,provisional_raw_import,FALSE,
p_alg_fares_ghedjemis_fe617a47,,,,Fares Ghedjemis,Fares Ghedjemis,,,,,,,forward,,,,,,,provisional_raw_import,FALSE,
p_alg_hicham_boudaoui_0c0f5c95,,,,Hicham Boudaoui,Hicham Boudaoui,,,,,,,midfielder,,,,,,,provisional_raw_import,FALSE,
p_alg_houssem_aouar_4b886415,,,,Houssem Aouar,Houssem Aouar,,,,,,,midfielder,,,,,,,provisional_raw_import,FALSE,
p_alg_ibrahim_maza_9745cb11,,,,Ibrahim Maza,Ibrahim Maza,,,,,,,midfielder,,,,,,,provisional_raw_import,FALSE,
p_alg_jaouen_hadjam_0bd5d114,,,,Jaouen Hadjam,Jaouen Hadjam,,,,,,,defender,,,,,,,provisional_raw_import,FALSE,
p_alg_luca_zidane_9bb39f36,,,,Luca Zidane,Luca Zidane,,,,,,,goalkeeper,,,,,,,provisional_raw_import,FALSE,
p_alg_melvin_masstil_9362665c,,,,Melvin Masstil,Melvin Masstil,,,,,,,goalkeeper,,,,,,,provisional_raw_import,FALSE,
p_alg_mohamed_amine_amoura_56f3780c,,,,Mohamed Amine Amoura,Mohamed Amine Amoura,,,,,,,forward,,,,,,,provisional_raw_import,FALSE,
p_alg_mohamed_amine_tougai_d2bbe8d2,,,,Mohamed Amine Tougai,Mohamed Amine Tougai,,,,,,,defender,,,,,,,provisional_raw_import,FALSE,
p_alg_nabil_bentaleb_b4544369,,,,Nabil Bentaleb,Nabil Bentaleb,,,,,,,midfielder,,,,,,,provisional_raw_import,FALSE,
p_alg_nadir_benbouali_bb5a8a6a,,,,Nadir Benbouali,Nadir Benbouali,,,,,,,forward,,,,,,,provisional_raw_import,FALSE,
p_alg_oussama_benbot_899e999e,,,,Oussama Benbot,Oussama Benbot,,,,,,,goalkeeper,,,,,,,provisional_raw_import,FALSE,
p_alg_rafik_belghali_e4487e93,,,,Rafik Belghali,Rafik Belghali,,,,,,,defender,,,,,,,provisional_raw_import,FALSE,
p_alg_ramiz_zerrouki_365c4fe7,,,,Ramiz Zerrouki,Ramiz Zerrouki,,,,,,,midfielder,,,,,,,provisional_raw_import,FALSE,
p_alg_ramy_bensebaini_3cd59af9,,,,Ramy Bensebaini,Ramy Bensebaini,,,,,,,defender,,,,,,,provisional_raw_import,FALSE,
p_alg_rayan_ait_nouri_5cb1bf64,,,,Rayan Ait Nouri,Rayan Ait Nouri,,,,,,,defender,,,,,,,provisional_raw_import,FALSE,
p_alg_riyad_mahrez_cf3747ad,,,,Riyad Mahrez,Riyad Mahrez,,,,,,,forward,,,,,,,provisional_raw_import,FALSE,
p_alg_samir_chergui_ab6dd360,,,,Samir Chergui,Samir Chergui,,,,,,,defender,,,,,,,provisional_raw_import,FALSE,
p_alg_yassine_titraoui_dce1a510,,,,Yassine Titraoui,Yassine Titraoui,,,,,,,midfielder,,,,,,,provisional_raw_import,FALSE,
p_alg_zinedine_belaid_80b40d09,,,,Zinedine Belaid,Zinedine Belaid,,,,,,,defender,,,,,,,provisional_raw_import,FALSE,
p_arg_alexis_mac_allister_5fb6c1df,,,,Alexis Mac Allister,Alexis Mac Allister,,,,,,,midfielder,,,,,,,provisional_raw_import,FALSE,
p_arg_cristian_romero_8fab5f9e,,,,Cristian Romero,Cristian Romero,,,,,,,defender,,,,,,,provisional_raw_import,FALSE,
p_arg_emiliano_martinez_c1a843dd,,,,Emiliano Martínez,Emiliano Martinez,,,,,,,goalkeeper,,,,,,,provisional_raw_import,FALSE,
p_arg_enzo_fernandez_0572786a,,,,Enzo Fernández,Enzo Fernandez,,,,,,,midfielder,,,,,,,provisional_raw_import,FALSE,
p_arg_exequiel_palacios_caaa7c6d,,,,Exequiel Palacios,Exequiel Palacios,,,,,,,midfielder,,,,,,,provisional_raw_import,FALSE,
p_arg_facundo_medina_5f424a87,,,,Facundo Medina,Facundo Medina,,,,,,,defender,,,,,,,provisional_raw_import,FALSE,
p_arg_geronimo_rulli_1f840d31,,,,Gerónimo Rulli,Geronimo Rulli,,,,,,,goalkeeper,,,,,,,provisional_raw_import,FALSE,
p_arg_giovani_lo_celso_5503c556,,,,Giovani Lo Celso,Giovani Lo Celso,,,,,,,midfielder,,,,,,,provisional_raw_import,FALSE,
p_arg_giuliano_simeone_9c448df8,,,,Giuliano Simeone,Giuliano Simeone,,,,,,,forward,,,,,,,provisional_raw_import,FALSE,
p_arg_gonzalo_montiel_aef86bee,,,,Gonzalo Montiel,Gonzalo Montiel,,,,,,,defender,,,,,,,provisional_raw_import,FALSE,
p_arg_jose_manuel_lopez_6501b924,,,,Jose Manuel López,Jose Manuel Lopez,,,,,,,forward,,,,,,,provisional_raw_import,FALSE,
p_arg_juan_musso_67aa6620,,,,Juan Musso,Juan Musso,,,,,,,goalkeeper,,,,,,,provisional_raw_import,FALSE,
p_arg_julian_alvarez_797f95f2,,,,Julián Álvarez,Julian Alvarez,,,,,,,forward,,,,,,,provisional_raw_import,FALSE,
p_arg_lautaro_martinez_6a845476,,,,Lautaro Martínez,Lautaro Martinez,,,,,,,forward,,,,,,,provisional_raw_import,FALSE,
p_arg_leandro_paredes_03c0d6ce,,,,Leandro Paredes,Leandro Paredes,,,,,,,midfielder,,,,,,,provisional_raw_import,FALSE,
p_arg_leonardo_balerdi_27a86eed,,,,Leonardo Balerdi,Leonardo Balerdi,,,,,,,defender,,,,,,,provisional_raw_import,FALSE,
p_arg_lionel_messi_a65fe07a,,,,Lionel Messi,Lionel Messi,,,,,,,forward,,,,,,,provisional_raw_import,FALSE,
p_arg_lisandro_martinez_3b573d93,,,,Lisandro Martínez,Lisandro Martinez,,,,,,,defender,,,,,,,provisional_raw_import,FALSE,
