raw_club_id,raw_club_name,raw_club_name_ascii,canonical_club_id,canonical_club_name,alias_rule,merge_confidence,player_count_for_raw_club_id,teams_using_raw_club_id,normalization_notes
c_maccabi_tel_aviv_8adccf32,Maccabi Tel Aviv,Maccabi Tel Aviv,c_maccabi_tel_aviv_8adccf32,Maccabi Tel Aviv,unchanged,not_applicable,1,Cape Verde:1,No normalization merge applied.
c_machida_zelvia_de40ad9f,Machida Zelvia,Machida Zelvia,c_machida_zelvia_de40ad9f,Machida Zelvia,unchanged,not_applicable,1,Australia:1,No normalization merge applied.
c_mainz_0f856462,Mainz,Mainz,c_mainz_0f856462,Mainz,unchanged,not_applicable,3,South Korea:1; Switzerland:1; Japan:1,No normalization merge applied.
c_mainz_05_a2ff4aed,Mainz 05,Mainz 05,c_mainz_05_a2ff4aed,Mainz 05,unchanged,not_applicable,2,Austria:2,No normalization merge applied.
c_malavan_5031d9ab,Malavan,Malavan,c_malavan_5031d9ab,Malavan,unchanged,not_applicable,1,Iran:1,No normalization merge applied.
c_mallorca_283c2cf0,Mallorca,Mallorca,c_mallorca_283c2cf0,Mallorca,unchanged,not_applicable,2,Portugal:1; Colombia:1,No normalization merge applied.
c_malmo_81e0c3a3,Malmo,Malmo,c_malmo_81e0c3a3,Malmo,unchanged,not_applicable,1,Sweden:1,No normalization merge applied.
c_mamelodi_sundowns_5ad1de31,Mamelodi Sundowns,Mamelodi Sundowns,c_mamelodi_sundowns_5ad1de31,Mamelodi Sundowns,unchanged,not_applicable,9,South Africa:9,No normalization merge applied.
c_man_united_e54449db,Man United,Man United,c_man_united_e54449db,Man United,unchanged,not_applicable,1,Türkiye:1,No normalization merge applied.
c_manchester_city_446c8158,Manchester City,Manchester City,c_manchester_city_446c8158,Manchester City,unchanged,not_applicable,19,England:4; Portugal:3; Netherlands:2; Croatia:2; Belgium:1; Egypt:1; Spain:1; France:1; Norway:1; Algeria:1; Uzbekistan:1; Ghana:1,No normalization merge applied.
c_manchester_united_f05b841f,Manchester United,Manchester United,c_manchester_united_f05b841f,Manchester United,unchanged,not_applicable,11,Brazil:2; Portugal:2; England:2; Morocco:1; Ivory Coast:1; Belgium:1; Uruguay:1; Argentina:1,No normalization merge applied.
c_marathon_947eb4c4,Marathón,Marathon,c_marathon_947eb4c4,Marathón,unchanged,not_applicable,1,Panama:1,No normalization merge applied.
c_maribor_c1138f0c,Maribor,Maribor,c_nk_maribor_feb9d4ad,NK Maribor,auto_merge_curated_alias,high,1,Tunisia:1,Collapsed source variant to canonical club 'NK Maribor'.
c_marseille_8a6a0f84,Marseille,Marseille,c_marseille_8a6a0f84,Marseille,unchanged,not_applicable,7,Argentina:3; Morocco:1; United States:1; Netherlands:1; Algeria:1,No normalization merge applied.
c_mazatlan_b76304f0,Mazatlán,Mazatlan,c_mazatlan_b76304f0,Mazatlán,unchanged,not_applicable,1,Panama:1,No normalization merge applied.
c_melbourne_city_04bdf721,Melbourne City,Melbourne City,c_melbourne_city_04bdf721,Melbourne City,unchanged,not_applicable,3,Australia:3,No normalization merge applied.
c_melbourne_victory_7173b295,Melbourne Victory,Melbourne Victory,c_melbourne_victory_7173b295,Melbourne Victory,unchanged,not_applicable,1,Australia:1,No normalization merge applied.
c_miami_fc_86451741,Miami FC,Miami FC,c_miami_fc_86451741,Miami FC,unchanged,not_applicable,2,Curacao:2,No normalization merge applied.
c_middlesbrough_8a024275,Middlesbrough,Middlesbrough,c_middlesbrough_8a024275,Middlesbrough,unchanged,not_applicable,2,Canada:1; Curacao:1,No normalization merge applied.
c_midtjylland_dbf5237c,Midtjylland,Midtjylland,c_fc_midtjylland_2f4e39b9,FC Midtjylland,auto_merge_curated_alias,high,3,South Korea:2; Croatia:1,Collapsed source variant to canonical club 'FC Midtjylland'.
c_millwall_9ef52a13,Millwall,Millwall,c_millwall_9ef52a13,Millwall,unchanged,not_applicable,1,New Zealand:1,No normalization merge applied.
c_minnesota_united_ec79d898,Minnesota United,Minnesota United,c_minnesota_united_ec79d898,Minnesota United,unchanged,not_applicable,3,New Zealand:1; Colombia:1; Panama:1,No normalization merge applied.
c_mjallby_ba532087,Mjallby,Mjallby,c_mjallby_ba532087,Mjallby,unchanged,not_applicable,1,Sweden:1,No normalization merge applied.
c_molde_c258d39b,Molde,Molde,c_molde_c258d39b,Molde,unchanged,not_applicable,1,South Africa:1,No normalization merge applied.
c_monaco_2c8eb35b,Monaco,Monaco,c_as_monaco_6b2106c8,AS Monaco,auto_merge_curated_alias,high,1,Switzerland:1,Collapsed source variant to canonical club 'AS Monaco'.
c_montana_45e96443,Montana,Montana,c_montana_45e96443,Montana,unchanged,not_applicable,1,Cape Verde:1,No normalization merge applied.
c_monterrey_f10cf911,Monterrey,Monterrey,c_monterrey_f10cf911,Monterrey,unchanged,not_applicable,1,Uruguay:1,No normalization merge applied.
c_montpellier_12bea8d1,Montpellier,Montpellier,c_montpellier_12bea8d1,Montpellier,unchanged,not_applicable,1,Congo DR:1,No normalization merge applied.
c_motherwell_8b7b9d25,Motherwell,Motherwell,c_motherwell_8b7b9d25,Motherwell,unchanged,not_applicable,1,New Zealand:1,No normalization merge applied.
c_nacional_2b4d3a11,Nacional,Nacional,c_nacional_2b4d3a11,Nacional,unchanged,not_applicable,1,Panama:1,No normalization merge applied.
c_nancy_c55a4912,Nancy,Nancy,c_nancy_c55a4912,Nancy,unchanged,not_applicable,1,Haiti:1,No normalization merge applied.
c_nantes_f85b493e,Nantes,Nantes,c_nantes_f85b493e,Nantes,unchanged,not_applicable,1,Colombia:1,No normalization merge applied.
c_napoli_48cfbfde,Napoli,Napoli,c_napoli_48cfbfde,Napoli,unchanged,not_applicable,5,Scotland:2; Belgium:2; Uruguay:1,No normalization merge applied.
c_nasaf_92f9d239,Nasaf,Nasaf,c_nasaf_92f9d239,Nasaf,unchanged,not_applicable,3,Uzbekistan:3,No normalization merge applied.
c_navbahor_c6d5cb2a,Navbahor,Navbahor,c_navbahor_c6d5cb2a,Navbahor,unchanged,not_applicable,1,Uzbekistan:1,No normalization merge applied.
c_nec_nijmegen_5eeb954a,NEC Nijmegen,NEC Nijmegen,c_nec_nijmegen_5eeb954a,NEC Nijmegen,unchanged,not_applicable,2,Curacao:1; Japan:1,No normalization merge applied.
c_neftchi_0cda2dd5,Neftchi,Neftchi,c_neftchi_0cda2dd5,Neftchi,unchanged,not_applicable,2,Uzbekistan:2,No normalization merge applied.
c_neom_dd0f566d,Neom,Neom,c_neom_dd0f566d,Neom,unchanged,not_applicable,1,Saudi Arabia:1,No normalization merge applied.
c_new_england_revolution_d4ef9fc5,New England Revolution,New England Revolution,c_new_england_revolution_d4ef9fc5,New England Revolution,unchanged,not_applicable,1,United States:1,No normalization merge applied.
c_new_york_city_fc_d53241ec,New York City FC,New York City FC,c_new_york_city_fc_d53241ec,New York City FC,unchanged,not_applicable,3,Australia:2; United States:1,No normalization merge applied.
c_newcastle_12703e8b,Newcastle,Newcastle,c_newcastle_united_492af7e1,Newcastle United,auto_merge_curated_alias,high,2,Germany:2,Collapsed source variant to canonical club 'Newcastle United'.
c_newcastle_jets_131175aa,Newcastle Jets,Newcastle Jets,c_newcastle_jets_131175aa,Newcastle Jets,unchanged,not_applicable,1,New Zealand:1,No normalization merge applied.
c_newcastle_united_492af7e1,Newcastle United,Newcastle United,c_newcastle_united_492af7e1,Newcastle United,auto_merge_curated_alias,high,6,England:3; Brazil:1; Sweden:1; Congo DR:1,Collapsed source variant to canonical club 'Newcastle United'.
c_nice_a83a802d,Nice,Nice,c_nice_a83a802d,Nice,unchanged,not_applicable,8,Senegal:2; Canada:1; Ivory Coast:1; Tunisia:1; Egypt:1; Algeria:1; Ghana:1,No normalization merge applied.
c_nk_maribor_feb9d4ad,NK Maribor,NK Maribor,c_nk_maribor_feb9d4ad,NK Maribor,auto_merge_curated_alias,high,1,Ivory Coast:1,Collapsed source variant to canonical club 'NK Maribor'.
c_nordsjaelland_485bda61,Nordsjaelland,Nordsjaelland,c_fc_nordsjlland_ae9978cb,FC Nordsjælland,auto_merge_curated_alias,high,1,Egypt:1,Collapsed source variant to canonical club 'FC Nordsjælland'.
c_norwich_0fd7ee1d,Norwich,Norwich,c_norwich_city_9bfbedcc,Norwich City,auto_merge_curated_alias,high,1,Scotland:1,Collapsed source variant to canonical club 'Norwich City'.
c_norwich_city_9bfbedcc,Norwich City,Norwich City,c_norwich_city_9bfbedcc,Norwich City,auto_merge_curated_alias,high,4,Canada:1; Australia:1; Tunisia:1; Panama:1,Collapsed source variant to canonical club 'Norwich City'.
c_nottingham_forest_a950aa00,Nottingham Forest,Nottingham Forest,c_nottingham_forest_a950aa00,Nottingham Forest,unchanged,not_applicable,6,New Zealand:2; Switzerland:1; Scotland:1; Ivory Coast:1; England:1,No normalization merge applied.
c_olimpia_aed7596a,Olimpia,Olimpia,c_olimpia_aed7596a,Olimpia,unchanged,not_applicable,1,Paraguay:1,No normalization merge applied.
