club_id,wikidata_id,club_name,club_name_ascii,country,league,city,stadium,club_lat,club_lon,club_source_url,geo_source,manual_review_flag,notes,player_count_at_callup,alias_count
c_shabab_al_ahli_7bfa5689,,Shabab Al-Ahli,Shabab Al-Ahli,,,,,,,,,FALSE,Wikidata/league/city/stadium pending Step 5b/Step 6.,1,1
c_shamrock_rovers_2cdea59c,,Shamrock Rovers,Shamrock Rovers,,,,,,,,,FALSE,Wikidata/league/city/stadium pending Step 5b/Step 6.,1,1
c_sharjah_dab7481c,,Sharjah,Sharjah,,,,,,,,,FALSE,Wikidata/league/city/stadium pending Step 5b/Step 6.,1,1
c_sheffield_united_03747276,,Sheffield United,Sheffield United,,,,,,,,,FALSE,Wikidata/league/city/stadium pending Step 5b/Step 6.,1,1
c_sigma_olomouc_9866567d,,Sigma Olomouc,Sigma Olomouc,,,,,,,,,FALSE,Wikidata/league/city/stadium pending Step 5b/Step 6.,1,1
c_silkeborg_if_f15d8622,,Silkeborg IF,Silkeborg IF,,,,,,,,,FALSE,Wikidata/league/city/stadium pending Step 5b/Step 6.,1,1
c_sint_truiden_eb30716d,,Sint-Truiden,Sint-Truiden,,,,,,,,,FALSE,Wikidata/league/city/stadium pending Step 5b/Step 6.,2,1
c_sjk_4111de11,,SJK,SJK,,,,,,,,,FALSE,Wikidata/league/city/stadium pending Step 5b/Step 6.,1,1
c_slaven_belupo_a67f2dfc,,Slaven Belupo,Slaven Belupo,,,,,,,,,FALSE,Wikidata/league/city/stadium pending Step 5b/Step 6.,1,1
c_slavia_prague_6def6306,,Slavia Prague,Slavia Prague,,,,,,,,,FALSE,Wikidata/league/city/stadium pending Step 5b/Step 6.,10,1
c_slovan_bratislava_8e855156,,Slovan Bratislava,Slovan Bratislava,,,,,,,,,FALSE,Wikidata/league/city/stadium pending Step 5b/Step 6.,1,1
c_slovan_liberec_d17c3872,,Slovan Liberec,Slovan Liberec,,,,,,,,,FALSE,Wikidata/league/city/stadium pending Step 5b/Step 6.,1,1
c_sochaux_ac407c94,,Sochaux,Sochaux,,,,,,,,,FALSE,Wikidata/league/city/stadium pending Step 5b/Step 6.,1,1
c_southampton_1d40f1fa,,Southampton,Southampton,,,,,,,,,FALSE,Wikidata/league/city/stadium pending Step 5b/Step 6.,2,1
c_sparta_prague_8236520c,,Sparta Prague,Sparta Prague,,,,,,,,,FALSE,Wikidata/league/city/stadium pending Step 5b/Step 6.,3,1
c_sparta_rotterdam_15c16fb0,,Sparta Rotterdam,Sparta Rotterdam,,,,,,,,,FALSE,Wikidata/league/city/stadium pending Step 5b/Step 6.,1,1
c_spartak_moscow_24492656,,Spartak Moscow,Spartak Moscow,,,,,,,,,FALSE,Wikidata/league/city/stadium pending Step 5b/Step 6.,1,1
c_sporting_cp_68d8c4d1,,Sporting CP,Sporting CP,,,,,,,,,FALSE,Merged aliases/source variants: Sporting CP; Sporting Lisbon. Wikidata/league/city/stadium pending Step 5b/Step 6.,8,2
c_st_gallen_c9354c56,,St Gallen,St Gallen,,,,,,,,,FALSE,Wikidata/league/city/stadium pending Step 5b/Step 6.,1,1
c_st_patrick_s_athletic_b41b37bf,,St Patrick's Athletic,St Patrick's Athletic,,,,,,,,,FALSE,Wikidata/league/city/stadium pending Step 5b/Step 6.,1,1
c_st_pauli_b81e5622,,St. Pauli,St. Pauli,,,,,,,,,FALSE,Merged aliases/source variants: St. Pauli; St Pauli. Wikidata/league/city/stadium pending Step 5b/Step 6.,4,2
c_stade_nyonnaise_d6f19ad2,,Stade Nyonnaise,Stade Nyonnaise,,,,,,,,,FALSE,Wikidata/league/city/stadium pending Step 5b/Step 6.,1,1
c_stade_rennais_c98241a9,,Stade Rennais,Stade Rennais,,,,,,,,,FALSE,Wikidata/league/city/stadium pending Step 5b/Step 6.,1,1
c_standard_liege_3e26b5d7,,Standard Liege,Standard Liege,,,,,,,,,FALSE,Wikidata/league/city/stadium pending Step 5b/Step 6.,2,1
c_stoke_city_320b8e5a,,Stoke City,Stoke City,,,,,,,,,FALSE,Wikidata/league/city/stadium pending Step 5b/Step 6.,2,1
c_strasbourg_ec14fe17,,Strasbourg,Strasbourg,,,,,,,,,FALSE,Wikidata/league/city/stadium pending Step 5b/Step 6.,6,1
c_strmsgodset_8b9d1286,,Strømsgodset,Stromsgodset,,,,,,,,,FALSE,Wikidata/league/city/stadium pending Step 5b/Step 6.,1,1
c_sunderland_4aa579a0,,Sunderland,Sunderland,,,,,,,,,FALSE,Wikidata/league/city/stadium pending Step 5b/Step 6.,9,1
c_surkhon_b0fc6235,,Surkhon,Surkhon,,,,,,,,,FALSE,Wikidata/league/city/stadium pending Step 5b/Step 6.,1,1
c_swansea_city_40d4171f,,Swansea City,Swansea City,,,,,,,,,FALSE,Wikidata/league/city/stadium pending Step 5b/Step 6.,3,1
c_sydney_fc_46493459,,Sydney FC,Sydney FC,,,,,,,,,FALSE,Wikidata/league/city/stadium pending Step 5b/Step 6.,1,1
c_talleres_44a8f91d,,Talleres,Talleres,,,,,,,,,FALSE,Wikidata/league/city/stadium pending Step 5b/Step 6.,1,1
c_telstar_e85327be,,Telstar,Telstar,,,,,,,,,FALSE,Wikidata/league/city/stadium pending Step 5b/Step 6.,2,1
c_terengganu_3785b314,,Terengganu,Terengganu,,,,,,,,,FALSE,Wikidata/league/city/stadium pending Step 5b/Step 6.,1,1
c_tigres_uanl_6d3f0914,,Tigres UANL,Tigres UANL,,,,,,,,,FALSE,Merged aliases/source variants: Tigres UANL; Tigres. Wikidata/league/city/stadium pending Step 5b/Step 6.,2,2
c_toluca_a5d0edbb,,Toluca,Toluca,,,,,,,,,FALSE,Wikidata/league/city/stadium pending Step 5b/Step 6.,2,1
c_tondela_897c0be8,,Tondela,Tondela,,,,,,,,,FALSE,Wikidata/league/city/stadium pending Step 5b/Step 6.,1,1
c_torino_3891b778,,Torino,Torino,,,,,,,,,FALSE,Wikidata/league/city/stadium pending Step 5b/Step 6.,3,1
c_toronto_fc_801d96b3,,Toronto FC,Toronto FC,,,,,,,,,FALSE,Wikidata/league/city/stadium pending Step 5b/Step 6.,3,1
c_torreense_d5f6f333,,Torreense,Torreense,,,,,,,,,FALSE,Wikidata/league/city/stadium pending Step 5b/Step 6.,1,1
c_tottehham_6d832957,,Tottehham,Tottehham,,,,,,,,,FALSE,Wikidata/league/city/stadium pending Step 5b/Step 6.,1,1
c_tottenham_hotspur_ef01ee61,,Tottenham Hotspur,Tottenham Hotspur,,,,,,,,,FALSE,Merged aliases/source variants: Tottenham Hotspur; Tottenham. Wikidata/league/city/stadium pending Step 5b/Step 6.,7,2
c_toulouse_68472eee,,Toulouse,Toulouse,,,,,,,,,FALSE,Wikidata/league/city/stadium pending Step 5b/Step 6.,1,1
c_trabzonspor_15246eeb,,Trabzonspor,Trabzonspor,,,,,,,,,FALSE,Wikidata/league/city/stadium pending Step 5b/Step 6.,2,1
c_tractor_b739a166,,Tractor,Tractor,,,,,,,,,FALSE,Wikidata/league/city/stadium pending Step 5b/Step 6.,4,1
c_tsg_hoffenheim_7dd7fd83,,TSG Hoffenheim,TSG Hoffenheim,,,,,,,,,FALSE,Merged aliases/source variants: TSG Hoffenheim; Hoffenheim. Wikidata/league/city/stadium pending Step 5b/Step 6.,8,2
c_turan_tovuz_b1656aa6,,Turan Tovuz,Turan Tovuz,,,,,,,,,FALSE,Wikidata/league/city/stadium pending Step 5b/Step 6.,1,1
c_udinese_e4d6ce7e,,Udinese,Udinese,,,,,,,,,FALSE,Wikidata/league/city/stadium pending Step 5b/Step 6.,1,1
c_ulsan_hd_cd5a3dd8,,Ulsan HD,Ulsan HD,,,,,,,,,FALSE,Wikidata/league/city/stadium pending Step 5b/Step 6.,2,1
c_union_berlin_3b0a5205,,Union Berlin,Union Berlin,,,,,,,,,FALSE,Wikidata/league/city/stadium pending Step 5b/Step 6.,1,1
c_union_st_gilloise_b8dea71a,,Union St.-Gilloise,Union St.-Gilloise,,,,,,,,,FALSE,Merged aliases/source variants: Union St.-Gilloise; Royale-Union Saint Gilloise; Union St-Gilloise. Wikidata/league/city/stadium pending Step 5b/Step 6.,3,3
c_universidad_catolica_f9dd891a,,Universidad Católica,Universidad Catolica,,,,,,,,,FALSE,Wikidata/league/city/stadium pending Step 5b/Step 6.,2,1
c_universidad_de_concepcion_56e01dcd,,Universidad de Concepción,Universidad de Concepcion,,,,,,,,,FALSE,Wikidata/league/city/stadium pending Step 5b/Step 6.,1,1
c_universitatea_cluj_3ac82d3c,,Universitatea Cluj,Universitatea Cluj,,,,,,,,,FALSE,Wikidata/league/city/stadium pending Step 5b/Step 6.,1,1
c_us_monastir_e0705e0c,,US Monastir,US Monastir,,,,,,,,,FALSE,Wikidata/league/city/stadium pending Step 5b/Step 6.,1,1
c_usm_alger_1a6b6d83,,USM Alger,USM Alger,,,,,,,,,FALSE,Wikidata/league/city/stadium pending Step 5b/Step 6.,2,1
c_valencia_b00a061d,,Valencia,Valencia,,,,,,,,,FALSE,Wikidata/league/city/stadium pending Step 5b/Step 6.,1,1
c_vancouver_whitecaps_584ec8d5,,Vancouver Whitecaps,Vancouver Whitecaps,,,,,,,,,FALSE,Wikidata/league/city/stadium pending Step 5b/Step 6.,3,1
c_vasco_da_gama_ebb987d1,,Vasco da Gama,Vasco da Gama,,,,,,,,,FALSE,Wikidata/league/city/stadium pending Step 5b/Step 6.,1,1
c_velez_sarsfield_1118a976,,Vélez Sarsfield,Velez Sarsfield,,,,,,,,,FALSE,Wikidata/league/city/stadium pending Step 5b/Step 6.,1,1
c_venezia_e31ee20d,,Venezia,Venezia,,,,,,,,,FALSE,Wikidata/league/city/stadium pending Step 5b/Step 6.,2,1
c_verona_28485fcd,,Verona,Verona,,,,,,,,,FALSE,Wikidata/league/city/stadium pending Step 5b/Step 6.,1,1
c_vfb_stuttgart_79e41bee,,VfB Stuttgart,VfB Stuttgart,,,,,,,,,FALSE,Merged aliases/source variants: VfB Stuttgart; Stuttgart. Wikidata/league/city/stadium pending Step 5b/Step 6.,8,2
c_vfl_wolfsburg_6bff9162,,VfL Wolfsburg,VfL Wolfsburg,,,,,,,,,FALSE,Merged aliases/source variants: VfL Wolfsburg; Wolfsburg. Wikidata/league/city/stadium pending Step 5b/Step 6.,5,2
c_viking_fk_ff9c46f0,,Viking FK,Viking FK,,,,,,,,,FALSE,Merged aliases/source variants: Viking FK; Viking. Wikidata/league/city/stadium pending Step 5b/Step 6.,2,2
c_viktoria_plzen_c3cb1557,,Viktoria Plzen,Viktoria Plzen,,,,,,,,,FALSE,Wikidata/league/city/stadium pending Step 5b/Step 6.,8,1
c_villarreal_edfbe376,,Villarreal,Villarreal,,,,,,,,,FALSE,Wikidata/league/city/stadium pending Step 5b/Step 6.,8,1
c_violette_080fcd22,,Violette,Violette,,,,,,,,,FALSE,Wikidata/league/city/stadium pending Step 5b/Step 6.,1,1
c_vitoria_guimaraes_bdab72bf,,Vitoria Guimaraes,Vitoria Guimaraes,,,,,,,,,FALSE,Wikidata/league/city/stadium pending Step 5b/Step 6.,1,1
c_vizela_63e8bfe2,,Vizela,Vizela,,,,,,,,,FALSE,Wikidata/league/city/stadium pending Step 5b/Step 6.,2,1
c_volendam_44039ff3,,Volendam,Volendam,,,,,,,,,FALSE,Wikidata/league/city/stadium pending Step 5b/Step 6.,2,1
c_vvv_venlo_83a25ec0,,VVV Venlo,VVV Venlo,,,,,,,,,FALSE,Wikidata/league/city/stadium pending Step 5b/Step 6.,1,1
c_watford_149fe9eb,,Watford,Watford,,,,,,,,,FALSE,Wikidata/league/city/stadium pending Step 5b/Step 6.,3,1
c_wellington_phoenix_dcacb02d,,Wellington Phoenix,Wellington Phoenix,,,,,,,,,FALSE,Wikidata/league/city/stadium pending Step 5b/Step 6.,3,1
c_werder_bremen_a11ab9ed,,Werder Bremen,Werder Bremen,,,,,,,,,FALSE,Wikidata/league/city/stadium pending Step 5b/Step 6.,3,1
c_west_ham_united_0b178664,,West Ham United,West Ham United,,,,,,,,,FALSE,Merged aliases/source variants: West Ham United; West Ham. Wikidata/league/city/stadium pending Step 5b/Step 6.,4,2
c_western_sydney_wanderers_ad68f75f,,Western Sydney Wanderers,Western Sydney Wanderers,,,,,,,,,FALSE,Wikidata/league/city/stadium pending Step 5b/Step 6.,1,1
