city_key,country,city,preferred_city_query,source_row_count,distinct_club_id_count,distinct_club_name_count,club_ids,club_names,leagues,stadiums,primary_stadium_context_query,primary_club_context_query,legacy_geonames_city_queries,legacy_stadium_queries,legacy_club_queries,existing_club_coord_count,trusted_stadium_hint_coord_count,existing_club_coord_centroid_lat,existing_club_coord_centroid_lon,existing_coordinate_basis_values,untrusted_coordinate_basis_values,existing_coordinate_sources,existing_coordinate_source_urls,data_quality_flags,review_priority,latitude,longitude,geocode_source,geocode_source_url,match_confidence,review_status,review_notes,input_city_lookup_encoding,input_club_baseline_encoding,input_legacy_hybrid_encoding
belgium__bruges__a0f80d78,Belgium,Bruges,"Bruges, Belgium",2,2,2,c_cercle_brugge_02b4f133 | c_club_brugge_ea2adfc5,Cercle Brugge KSV | Club Brugge KV,Belgian Pro League,Jan Breydel Stadium,"Jan Breydel Stadium, Bruges, Belgium","Cercle Brugge KSV, Bruges, Belgium",,,,2,2,51.193269,3.181311,wikidata_home_venue_P115_to_stadium_P625,,wikidata_step6,https://www.wikidata.org/wiki/Q1070150,multiple_clubs_same_city_country,medium,51.20892,3.22424,geonames_searchJSON,https://www.geonames.org/2800931,low,ready_for_geocoding_with_local_hints,GeoNames name_equals match; selected 'Brugge'; admin 'Vlaanderen'; feature PPL; population 118509; 3.5 km from trusted local centroid; spot-check recommended before promoting to final club coordinates; HTTP fallback was used because the GeoNames HTTPS certificate failed verification. NOTE: Manually verified.,utf-8-sig,latin-1,utf-8-sig
paraguay__asuncion__1d501407,Paraguay,Asunción,"Asunción, Paraguay",2,2,2,c_cerro_porteno_cf028333 | c_olimpia_aed7596a,Club Cerro Porteño | Club Olimpia,APF División de Honor | Primera División de Paraguay,Estadio General Pablo Rojas | Estadio Osvaldo Domínguez Dibb,"Estadio General Pablo Rojas, Asunción, Paraguay","Club Cerro Porteño, Asunción, Paraguay","Asuncin, Paraguay | Asuncin, Uruguay","Estadio General Pablo Rojas, Asuncin, Paraguay | Estadio Saroldi, Asuncin, Uruguay","Cerro Porteo, Asuncin, Paraguay | Olimpia, Asuncin, Uruguay",2,2,-30.08106806,-56.91956945,wikidata_home_venue_P115_to_stadium_P625,,wikidata_step6,https://www.wikidata.org/wiki/Q1369223 | https://www.wikidata.org/wiki/Q45117,multiple_clubs_same_city_country | multiple_stadium_contexts | trusted_local_hints_have_large_spread,medium,-25.28207,-57.63539,geonames_searchJSON,https://www.geonames.org/3439389,low,ready_for_geocoding_with_local_hints,GeoNames name_equals match; selected 'Asunción'; admin 'Asunción'; feature PPLC; population 1482200; 537.9 km from trusted local centroid; spot-check recommended before promoting to final club coordinates; HTTP fallback was used because the GeoNames HTTPS certificate failed verification. NOTE: Manually changed to current values.,utf-8-sig,latin-1,utf-8-sig
belgium__charleroi__c5857956,Belgium,Charleroi,"Charleroi, Belgium",1,1,1,c_charleroi_62356bf9,Royal Charleroi SC,Belgian Pro League,Stade du Pays de Charleroi,"Stade du Pays de Charleroi, Charleroi, Belgium","Royal Charleroi SC, Charleroi, Belgium","Charleroi, Belgium","Stade du Pays de Charleroi, Charleroi, Belgium","Charleroi, Charleroi, Belgium",1,0,,,wikidata_club_coordinate_P625_review_needed,wikidata_club_coordinate_P625_review_needed,wikidata_step6,https://www.wikidata.org/wiki/Q403104,only_untrusted_local_coordinate_hints,high,50.41136,4.44448,geonames_searchJSON,https://www.geonames.org/2800481,high,ready_for_geocoding_with_untrusted_hints,GeoNames name_equals match; selected 'Charleroi'; admin 'Wallonië'; feature PPL; population 200132; HTTP fallback was used because the GeoNames HTTPS certificate failed verification.,utf-8-sig,latin-1,utf-8-sig
united-states__charlotte__ab07b447,United States,Charlotte,"Charlotte, United States",1,1,1,c_charlotte_fc_f185ca79,Charlotte FC,Major League Soccer,Bank of America Stadium,"Bank of America Stadium, Charlotte, United States","Charlotte FC, Charlotte, United States",,,,1,1,35.22583333,-80.85277778,wikidata_home_venue_P115_to_stadium_P625,,wikidata_step6,https://www.wikidata.org/wiki/Q806673,,medium,35.22709,-80.84313,geonames_searchJSON,https://www.geonames.org/4460243,high,ready_for_geocoding_with_local_hints,GeoNames name_equals match; selected 'Charlotte'; admin 'North Carolina'; feature PPLA2; population 911311; 0.9 km from trusted local centroid; top-vs-next score margin 86.0; HTTP fallback was used because the GeoNames HTTPS certificate failed verification.,utf-8-sig,latin-1,utf-8-sig
portugal__chaves__259ceaf1,Portugal,Chaves,"Chaves, Portugal",1,1,1,c_chaves_de187007,G.D. Chaves,Liga Portugal 2,Estádio Municipal Eng. Manuel Branco Teixeira,"Estádio Municipal Eng. Manuel Branco Teixeira, Chaves, Portugal","G.D. Chaves, Chaves, Portugal","Chaves, Portugal","Estdio Municipal Eng. Manuel Branco Teixeira, Chaves, Portugal","Chaves, Chaves, Portugal",0,0,,,,,wikidata_step6,,,medium,41.74019,-7.46879,geonames_searchJSON,https://www.geonames.org/2740761,high,ready_for_geocoding_no_local_hints,GeoNames name_equals match; selected 'Chaves'; admin 'Vila Real'; feature PPLA2; population 17535; HTTP fallback was used because the GeoNames HTTPS certificate failed verification.,utf-8-sig,latin-1,utf-8-sig
united-states__chicago__83183e91,United States,Chicago,"Chicago, United States",1,1,1,c_chicago_fire_65c1a76f,Chicago Fire,Major League Soccer,Soldier Field,"Soldier Field, Chicago, United States","Chicago Fire, Chicago, United States","Chicago, United States","Soldier Field, Chicago, United States","Chicago Fire, Chicago, United States",1,1,41.8625,-87.61666667,wikidata_home_venue_P115_to_stadium_P625,,wikidata_step6,https://www.wikidata.org/wiki/Q1132413,,medium,41.85003,-87.65005,geonames_searchJSON,https://www.geonames.org/4887398,high,ready_for_geocoding_with_local_hints,GeoNames name_equals match; selected 'Chicago'; admin 'Illinois'; feature PPLA2; population 2664452; 3.1 km from trusted local centroid; top-vs-next score margin 186.0; HTTP fallback was used because the GeoNames HTTPS certificate failed verification.,utf-8-sig,latin-1,utf-8-sig
united-states__carson__785d5169,United States,Carson,"Carson, United States",1,1,1,c_chivas_d38ae426,Chivas,Major League Soccer,Dignity Health Sports Park,"Dignity Health Sports Park, Carson, United States","Chivas, Carson, United States",,,,1,1,33.86444444,-118.2611111,wikidata_home_venue_P115_to_stadium_P625,,wikidata_step6,https://www.wikidata.org/wiki/Q200684,,medium,33.83141,-118.28202,geonames_searchJSON,https://www.geonames.org/5334519,high,ready_for_geocoding_with_local_hints,GeoNames name_equals match; selected 'Carson'; admin 'California'; feature PPL; population 93281; 4.1 km from trusted local centroid; top-vs-next score margin 84.5; HTTP fallback was used because the GeoNames HTTPS certificate failed verification.,utf-8-sig,latin-1,utf-8-sig
tunisia__rades__3c5626c2,Tunisia,Radès,"Radès, Tunisia",2,2,2,c_club_africain_64656e78 | c_esperance_de_tunis_bd3a1ae1,Club Africain | Espérance de Tunis,Tunisian Ligue Professionnelle 1,Hammadi Agrebi Stadium,"Hammadi Agrebi Stadium, Radès, Tunisia","Club Africain, Radès, Tunisia","Rads, Tunisia","Hammadi Agrebi Stadium, Rads, Tunisia","Club Africain, Rads, Tunisia",2,2,36.74777778,10.27277778,wikidata_home_venue_P115_to_stadium_P625,,wikidata_step6,https://www.wikidata.org/wiki/Q1848770,multiple_clubs_same_city_country,medium,36.76946,10.27468,geonames_searchJSON,https://www.geonames.org/2467815,high,ready_for_geocoding_with_local_hints,GeoNames name_equals match; selected 'Radès'; admin 'ولاية بن عروس'; feature PPL; population 59998; 2.4 km from trusted local centroid; HTTP fallback was used because the GeoNames HTTPS certificate failed verification.,utf-8-sig,latin-1,utf-8-sig
mexico__coyoacan__d2b533fd,Mexico,Coyoacán,"Coyoacán, Mexico",1,1,1,c_club_america_49cadc66,Club América,Liga MX,Estadio Azteca,"Estadio Azteca, Coyoacán, Mexico","Club América, Coyoacán, Mexico","Coyoacn, Mexico","Estadio Azteca, Coyoacn, Mexico","Club Amrica, Coyoacn, Mexico",1,1,19.30305556,-99.15055556,wikidata_home_venue_P115_to_stadium_P625,,wikidata_step6,https://www.wikidata.org/wiki/Q320454,,medium,19.3467,-99.16174,geonames_searchJSON,https://www.geonames.org/3530139,high,ready_for_geocoding_with_local_hints,GeoNames name_equals match; selected 'Coyoacán'; admin 'Ciudad de México'; feature PPL; population 614447; 5.0 km from trusted local centroid; top-vs-next score margin 55.3; HTTP fallback was used because the GeoNames HTTPS certificate failed verification.,utf-8-sig,latin-1,utf-8-sig
mexico__tijuana__1a4dc2ce,Mexico,Tijuana,"Tijuana, Mexico",1,1,1,c_club_tijuana_6e4baf66,Club Tijuana,Liga MX,Estadio Caliente,"Estadio Caliente, Tijuana, Mexico","Club Tijuana, Tijuana, Mexico","Tijuana, Mexico","Estadio Caliente, Tijuana, Mexico","Club Tijuana, Tijuana, Mexico",1,1,32.506067,-116.993092,wikidata_home_venue_P115_to_stadium_P625,,wikidata_step6,https://www.wikidata.org/wiki/Q2706196,,medium,32.5027,-117.00371,geonames_searchJSON,https://www.geonames.org/3981609,high,ready_for_geocoding_with_local_hints,GeoNames name_equals match; selected 'Tijuana'; admin 'Baja California'; feature PPLA2; population 1922523; 1.1 km from trusted local centroid; top-vs-next score margin 98.7; HTTP fallback was used because the GeoNames HTTPS certificate failed verification.,utf-8-sig,latin-1,utf-8-sig
