city_key,country,city,preferred_city_query,review_status,review_priority,source_row_count,club_names,stadiums,primary_stadium_context_query,primary_club_context_query,trusted_stadium_hint_coord_count,existing_club_coord_centroid_lat,existing_club_coord_centroid_lon,existing_coordinate_basis_values,existing_coordinate_source_urls,data_quality_flags,review_notes
slovakia__presov__981a5ee2,Slovakia,Prešov,"Prešov, Slovakia",ready_for_geocoding_with_local_hints,medium,1,FC Tatran Prešov,Futbal Tatran Arena,"Futbal Tatran Arena, Prešov, Slovakia","FC Tatran Prešov, Prešov, Slovakia",1,49.00666700,21.23444400,wikidata_home_venue_P115_to_stadium_P625,https://www.wikidata.org/wiki/Q392308,,Trusted stadium-based coordinates are available as local hints only; confirm true city coordinates from a city-level source.
slovenia__maribor__0809fa4a,Slovenia,Maribor,"Maribor, Slovenia",ready_for_geocoding_with_local_hints,medium,1,NK Maribor,Ljudski vrt,"Ljudski vrt, Maribor, Slovenia","NK Maribor, Maribor, Slovenia",1,46.56250000,15.64055600,wikidata_home_venue_P115_to_stadium_P625,https://www.wikidata.org/wiki/Q975819,,Trusted stadium-based coordinates are available as local hints only; confirm true city coordinates from a city-level source.
south-africa__johannesburg__1828ef45,South Africa,Johannesburg,"Johannesburg, South Africa",ready_for_geocoding_with_local_hints,medium,1,Kaizer Chiefs F.C.,FNB Stadium,"FNB Stadium, Johannesburg, South Africa","Kaizer Chiefs F.C., Johannesburg, South Africa",1,-26.23480600,27.98237800,wikidata_home_venue_P115_to_stadium_P625,https://www.wikidata.org/wiki/Q163521,,Trusted stadium-based coordinates are available as local hints only; confirm true city coordinates from a city-level source.
south-africa__orlando__15241068,South Africa,Orlando,"Orlando, South Africa",ready_for_geocoding_with_local_hints,medium,1,Orlando Pirates,Orlando Stadium,"Orlando Stadium, Orlando, South Africa","Orlando Pirates, Orlando, South Africa",1,-26.23189400,27.92289200,wikidata_home_venue_P115_to_stadium_P625,https://www.wikidata.org/wiki/Q1681126,,Trusted stadium-based coordinates are available as local hints only; confirm true city coordinates from a city-level source.
south-africa__polokwane__b8c91429,South Africa,Polokwane,"Polokwane, South Africa",ready_for_geocoding_with_local_hints,medium,1,Polokwane City,Peter Mokaba Stadium,"Peter Mokaba Stadium, Polokwane, South Africa","Polokwane City, Polokwane, South Africa",1,-23.92468900,29.46876500,wikidata_home_venue_P115_to_stadium_P625,https://www.wikidata.org/wiki/Q187042,,Trusted stadium-based coordinates are available as local hints only; confirm true city coordinates from a city-level source.
south-africa__pretoria__4f0a3cb5,South Africa,Pretoria,"Pretoria, South Africa",ready_for_geocoding_with_local_hints,medium,1,Mamelodi Sundowns,Loftus Versfeld Stadium,"Loftus Versfeld Stadium, Pretoria, South Africa","Mamelodi Sundowns, Pretoria, South Africa",1,-25.75318900,28.22301400,wikidata_home_venue_P115_to_stadium_P625,https://www.wikidata.org/wiki/Q181398,,Trusted stadium-based coordinates are available as local hints only; confirm true city coordinates from a city-level source.
south-korea__daejeon__f43e0133,South Korea,Daejeon,"Daejeon, South Korea",ready_for_geocoding_with_local_hints,medium,1,Daejeon Hana,Daejeon World Cup Stadium,"Daejeon World Cup Stadium, Daejeon, South Korea","Daejeon Hana, Daejeon, South Korea",1,36.36522900,127.32505600,wikidata_home_venue_P115_to_stadium_P625,https://www.wikidata.org/wiki/Q482598,,Trusted stadium-based coordinates are available as local hints only; confirm true city coordinates from a city-level source.
south-korea__dongan-gu__3b834532,South Korea,Dongan-gu,"Dongan-gu, South Korea",ready_for_geocoding_with_local_hints,medium,1,FC Seoul,Anyang Sports Complex,"Anyang Sports Complex, Dongan-gu, South Korea","FC Seoul, Dongan-gu, South Korea",1,37.40539700,126.94644600,wikidata_home_venue_P115_to_stadium_P625,https://www.wikidata.org/wiki/Q4778217,,Trusted stadium-based coordinates are available as local hints only; confirm true city coordinates from a city-level source.
south-korea__gangneung__25ff1be0,South Korea,Gangneung,"Gangneung, South Korea",ready_for_geocoding_with_local_hints,medium,1,Gangwon FC,Gangneung Stadium,"Gangneung Stadium, Gangneung, South Korea","Gangwon FC, Gangneung, South Korea",1,37.77356100,128.89750300,wikidata_home_venue_P115_to_stadium_P625,https://www.wikidata.org/wiki/Q5521164,,Trusted stadium-based coordinates are available as local hints only; confirm true city coordinates from a city-level source.
south-korea__jeonju__81ac771a,South Korea,Jeonju,"Jeonju, South Korea",ready_for_geocoding_with_local_hints,medium,1,Jeonbuk Hyundai,Jeonju World Cup Stadium,"Jeonju World Cup Stadium, Jeonju, South Korea","Jeonbuk Hyundai, Jeonju, South Korea",1,35.86807100,127.06448000,wikidata_home_venue_P115_to_stadium_P625,https://www.wikidata.org/wiki/Q562072,,Trusted stadium-based coordinates are available as local hints only; confirm true city coordinates from a city-level source.
south-korea__ulsan__55d99f37,South Korea,Ulsan,"Ulsan, South Korea",ready_for_geocoding_with_local_hints,medium,1,Ulsan HD,Ulsan Munsu Football Stadium,"Ulsan Munsu Football Stadium, Ulsan, South Korea","Ulsan HD, Ulsan, South Korea",1,35.53527778,129.25944440,wikidata_home_venue_P115_to_stadium_P625,https://www.wikidata.org/wiki/Q482601,,Trusted stadium-based coordinates are available as local hints only; confirm true city coordinates from a city-level source.
spain__barcelona__6f0e02e0,Spain,Barcelona,"Barcelona, Spain",ready_for_geocoding_with_local_hints,medium,1,FC Barcelona,Camp Nou,"Camp Nou, Barcelona, Spain","FC Barcelona, Barcelona, Spain",1,41.38083333,2.12277778,wikidata_home_venue_P115_to_stadium_P625,https://www.wikidata.org/wiki/Q159848,,Trusted stadium-based coordinates are available as local hints only; confirm true city coordinates from a city-level source.
spain__bilbao__1f3dc556,Spain,Bilbao,"Bilbao, Spain",ready_for_geocoding_with_local_hints,medium,1,Athletic Bilbao,San Mamés Stadium,"San Mamés Stadium, Bilbao, Spain","Athletic Bilbao, Bilbao, Spain",1,43.26420500,-2.94936900,wikidata_home_venue_P115_to_stadium_P625,https://www.wikidata.org/wiki/Q182864,,Trusted stadium-based coordinates are available as local hints only; confirm true city coordinates from a city-level source.
spain__cornella-de-llobregat__dc36b862,Spain,Cornellà de Llobregat,"Cornellà de Llobregat, Spain",ready_for_geocoding_with_local_hints,medium,1,RCD Espanyol,RCDE Stadium,"RCDE Stadium, Cornellà de Llobregat, Spain","RCD Espanyol, Cornellà de Llobregat, Spain",1,41.42669600,2.21306400,wikidata_home_venue_P115_to_stadium_P625,https://www.wikidata.org/wiki/Q8346552,,Trusted stadium-based coordinates are available as local hints only; confirm true city coordinates from a city-level source.
spain__elche__a6d6c887,Spain,Elche,"Elche, Spain",ready_for_geocoding_with_local_hints,medium,1,Elche,Estadio Manuel Martínez Valero,"Estadio Manuel Martínez Valero, Elche, Spain","Elche, Elche, Spain",1,38.26694400,-0.66333300,wikidata_home_venue_P115_to_stadium_P625,https://www.wikidata.org/wiki/Q953600,,Trusted stadium-based coordinates are available as local hints only; confirm true city coordinates from a city-level source.
spain__girona__99fcaed7,Spain,Girona,"Girona, Spain",ready_for_geocoding_with_local_hints,medium,1,Girona,Montilivi Stadium,"Montilivi Stadium, Girona, Spain","Girona, Girona, Spain",1,41.96138900,2.82861100,wikidata_home_venue_P115_to_stadium_P625,https://www.wikidata.org/wiki/Q2097709,,Trusted stadium-based coordinates are available as local hints only; confirm true city coordinates from a city-level source.
spain__leon__acdef6d5,Spain,León,"León, Spain",ready_for_geocoding_with_local_hints,medium,1,Cultural y Deportiva Leonesa,Estadio Reino de León,"Estadio Reino de León, León, Spain","Cultural y Deportiva Leonesa, León, Spain",1,42.58748200,-5.57669900,wikidata_home_venue_P115_to_stadium_P625,https://www.wikidata.org/wiki/Q16822,,Trusted stadium-based coordinates are available as local hints only; confirm true city coordinates from a city-level source.
spain__oviedo__8ce4e6b2,Spain,Oviedo,"Oviedo, Spain",ready_for_geocoding_with_local_hints,medium,1,Real Oviedo,Carlos Tartiere Stadium,"Carlos Tartiere Stadium, Oviedo, Spain","Real Oviedo, Oviedo, Spain",1,43.36078300,-5.87022200,wikidata_home_venue_P115_to_stadium_P625,https://www.wikidata.org/wiki/Q1369536,,Trusted stadium-based coordinates are available as local hints only; confirm true city coordinates from a city-level source.
spain__palma__92a09a72,Spain,Palma,"Palma, Spain",ready_for_geocoding_with_local_hints,medium,1,Mallorca,Estadi Mallorca Son Moix,"Estadi Mallorca Son Moix, Palma, Spain","Mallorca, Palma, Spain",1,39.59000000,2.63000000,wikidata_home_venue_P115_to_stadium_P625,https://www.wikidata.org/wiki/Q276163,,Trusted stadium-based coordinates are available as local hints only; confirm true city coordinates from a city-level source.
spain__pamplona__7a9d21fb,Spain,Pamplona,"Pamplona, Spain",ready_for_geocoding_with_local_hints,medium,1,CA Osasuna,El Sadar Stadium,"El Sadar Stadium, Pamplona, Spain","CA Osasuna, Pamplona, Spain",1,42.77444444,-1.62555556,wikidata_home_venue_P115_to_stadium_P625,https://www.wikidata.org/wiki/Q21039386,,Trusted stadium-based coordinates are available as local hints only; confirm true city coordinates from a city-level source.
spain__san-sebastian__fcd690c8,Spain,San Sebastián,"San Sebastián, Spain",ready_for_geocoding_with_local_hints,medium,1,Real Sociedad,Anoeta Stadium,"Anoeta Stadium, San Sebastián, Spain","Real Sociedad, San Sebastián, Spain",1,43.30137800,-1.97361700,wikidata_home_venue_P115_to_stadium_P625,https://www.wikidata.org/wiki/Q917845,,Trusted stadium-based coordinates are available as local hints only; confirm true city coordinates from a city-level source.
spain__sant-joan-despi__a252ff7c,Spain,Sant Joan Despí,"Sant Joan Despí, Spain",ready_for_geocoding_with_local_hints,medium,1,FC Barcelona Atlètic,Johan Cruijff Stadium,"Johan Cruijff Stadium, Sant Joan Despí, Spain","FC Barcelona Atlètic, Sant Joan Despí, Spain",1,41.37422400,2.05050600,wikidata_home_venue_P115_to_stadium_P625,https://www.wikidata.org/wiki/Q29043488,,Trusted stadium-based coordinates are available as local hints only; confirm true city coordinates from a city-level source.
spain__santander__2675ae27,Spain,Santander,"Santander, Spain",ready_for_geocoding_with_local_hints,medium,1,Racing Santander,Campos de Sport de El Sardinero,"Campos de Sport de El Sardinero, Santander, Spain","Racing Santander, Santander, Spain",1,43.47638900,-3.79333300,wikidata_home_venue_P115_to_stadium_P625,https://www.wikidata.org/wiki/Q195391,,Trusted stadium-based coordinates are available as local hints only; confirm true city coordinates from a city-level source.
spain__vigo__c9d7b306,Spain,Vigo,"Vigo, Spain",ready_for_geocoding_with_local_hints,medium,1,RC Celta de Vigo,Balaídos Stadium,"Balaídos Stadium, Vigo, Spain","RC Celta de Vigo, Vigo, Spain",1,42.21186100,-8.74032800,wikidata_home_venue_P115_to_stadium_P625,https://www.wikidata.org/wiki/Q1326578,,Trusted stadium-based coordinates are available as local hints only; confirm true city coordinates from a city-level source.
spain__villarreal__b524e9b8,Spain,Villarreal,"Villarreal, Spain",ready_for_geocoding_with_local_hints,medium,1,Villarreal CF,Estadio de la Cerámica,"Estadio de la Cerámica, Villarreal, Spain","Villarreal CF, Villarreal, Spain",1,39.94416700,-0.10361100,wikidata_home_venue_P115_to_stadium_P625,https://www.wikidata.org/wiki/Q741157,,Trusted stadium-based coordinates are available as local hints only; confirm true city coordinates from a city-level source.
